x [m],y [m],Cond.1 [mS/m],Inph.1 [ppt],Cond.2 [mS/m],Inph.2 [ppt],Cond.3 [mS/m],Inph.3 [ppt],Inv.Cond.1 [mS/m],Inv.Cond.2 [mS/m],Inv.Thick [m],Inv.RMS [%],Note
0,0,4.28,1.07,10.56,1.71,14.11,3.03,0.35,55.37,5.9,22.2,
0,0,7.51,1.57,11.07,2.15,14.36,3.37,0.72,24.87,2.6,8.4,
0,0,12.73,1.95,12.42,2.64,14.69,3.91,10.89,15.15,2.7,5.6,
0,0,14.04,2.03,12.72,2.93,14.65,4.64,18.67,12.07,0.4,7.2,
0,0,10.04,1.55,11.86,2.37,14.27,3.92,5.61,19.94,2.9,4.7,
0,0,8.97,1.28,12.16,2.1,15.05,3.37,1.25,24.18,2.3,5.1,
0,0,9.57,1.58,12.25,2.48,14.86,3.99,3.08,23.17,2.5,2.6,
0,0,11.76,1.91,12.38,2.7,14.49,4.09,7.82,16.15,1.9,3.1,
0,0,13.77,2.11,13.07,3.07,15.21,5.05,11.27,15.69,2.7,4.4,
0,0,12.43,1.72,13.34,2.68,15.68,4.47,8.46,17.48,1.9,2.1,
0,0,11.05,1.42,13.36,2.33,15.66,3.88,3.06,17.18,1,4.1,
0,0,11.85,1.56,13.41,2.59,15.3,4.46,8.25,17.05,1.9,2,
0,0,13.49,1.77,13.08,2.69,15.1,4.34,11.19,15.58,2.7,3.7,
0,0,14.78,1.95,13.93,2.85,16.22,4.54,12.02,16.73,2.7,4.2,
0,0,12.81,1.68,12.96,2.6,15.01,4.39,11.12,15.48,2.7,5.3,
0,0,9.99,1.26,12.53,2.06,14.97,3.71,3.11,23.34,2.5,4.2,
0,0,5.47,1.14,11.04,2,14.13,3.77,0.35,37.83,4.2,14.5,
0,0,8.53,1.81,10.72,2.59,13.55,4.32,2.95,20.07,2.5,1,
0,0,7.84,2.15,10.17,2.73,13.31,4.24,1,19.71,2.1,5.4,
0,0,4.45,1.47,9.7,1.92,12.86,3.39,0.32,42.18,4.9,19.1,
0,0,5.48,0.78,10.51,1.29,13.08,2.84,0.33,35.02,4.2,14.4,
0,0,6.36,1.01,11.07,1.69,14.02,3.11,0.59,29.44,3.3,9.5,
0,0,8.57,1.54,10.96,2.45,13.48,3.99,2.93,19.96,2.5,1.6,
0,0,13.77,2.14,11.91,3.12,13.43,4.77,20.34,10.9,0.2,5.6,
0,0,12.53,2.28,11.38,3.21,12.49,5.43,18.92,10.14,0.2,5.1,
0,0,4.53,1.44,10.16,2.05,13.46,3.89,0.34,44.15,4.9,20.3,
0,0,4.64,1.02,10.48,1.78,13.25,3.53,0.33,43.46,4.9,17.3,
0,0,6.48,1.27,10.28,2.07,12.59,3.64,0.63,21.81,2.6,7,
0,0,9.98,1.73,10.85,2.62,12.82,4.06,4.4,12.23,0.6,3.9,
0,0,13.7,2.18,11.95,3.11,13.66,4.69,20.69,11.09,0.2,5.5,
0,0,10.36,1.98,10.73,2.8,12.49,4.56,4.28,11.91,0.6,3.9,
0,0,3.9,1.01,10,1.67,13.28,3.09,0.78,543.68,10.9,29.7,
0,0,7.74,1.31,10.62,2.23,12.9,3.96,2.81,19.1,2.5,3.3,
0,0,9.49,1.6,10.78,2.49,12.37,3.92,4.24,11.8,0.6,3.1,
0,0,11.84,1.92,10.92,2.88,11.88,4.32,17.99,9.64,0.2,5.1,
0,0,11.57,1.92,11.05,2.86,12.19,4.34,18.46,9.89,0.2,6.4,
0,0,7.48,1.29,10.85,2.08,13.3,3.69,1,19.7,2.1,3.5,
0,0,9.37,1.47,10.75,2.46,12.14,4.3,4.16,11.58,0.6,2.3,
0,0,10.26,1.6,11.07,2.57,12.73,4.19,4.37,12.14,0.6,2.7,
0,0,12.12,1.8,11.66,2.75,13.22,4.3,10.07,13.16,3,3.8,
0,0,12.53,2.03,11.41,3.06,12.61,4.78,19.1,10.23,0.2,5,
0,0,7.82,1.55,10.33,2.39,12.51,4.33,2.72,18.53,2.5,1.9,
0,0,5.61,1.27,9.71,2.19,12.12,3.99,0.51,25.45,3.3,9.4,
0,0,7.34,1.71,9.76,2.77,11.58,4.74,2.52,17.15,2.5,2.2,
0,0,10.75,1.96,10.32,3.01,11.8,4.72,8.98,11.75,3,3.4,
0,0,10.77,2.02,10.08,3.03,10.77,4.57,16.31,8.74,0.2,6.2,
0,0,6.5,1.62,8.79,2.58,9.97,4.24,1.06,10.95,1.1,5.7,
0,0,6.06,1.24,9.8,2.14,12.18,4.03,0.61,21.1,2.6,5.8,
0,0,6.61,1.58,9.85,2.58,12.48,4.38,0.63,21.62,2.6,7.2,
0,0,9.67,1.87,10.77,3.01,12.61,5.17,4.33,12.03,0.6,4,
0,0,11.47,1.84,10.72,2.9,12.6,4.87,9.59,12.55,3,4.6,
0,0,9.43,1.57,10.63,2.64,12.21,4.47,4.19,11.65,0.6,2.9,
0,0,8.35,1.37,10.34,2.39,12.21,4.2,2.25,12.77,0.9,5.1,
0,0,7.04,1.56,10.1,2.52,12.32,4.24,0.93,18.25,2.1,3.7,
0,0,8.15,1.87,10.16,2.93,12.11,4.75,4.76,16.92,2.9,5.6,
0,0,10.86,2.1,10.42,3.2,11.86,5.07,9.03,11.81,3,3.4,
0,0,8.74,1.7,10.7,2.82,12.86,4.8,5.06,17.97,2.9,5.3,
